threshold,feature_set,model,event_cutoff,signals,true_event_rate,hit_rate,avg_event_proba,avg_direction_confidence,avg_best_side_return
0.02,price_only_on_news,hist_gradient_boosting,0.5,782,0.670076726342711,0.5179028132992327,0.6891035618066047,0.10867559113036411,0.019749441949891783
0.02,price_only_on_news,hist_gradient_boosting,0.6,517,0.7214700193423598,0.5512572533849129,0.7616073543549527,0.10746565041552647,0.021376959443536497
0.02,price_only_on_news,hist_gradient_boosting,0.7,322,0.7795031055900621,0.5714285714285714,0.8330365244282368,0.11122603126174238,0.022506427231738922
0.02,price_only_on_news,hist_gradient_boosting,0.8,196,0.8163265306122449,0.5306122448979592,0.8891577672735689,0.11486517712614312,0.022859329485779675
